model,arm,distance,occurrence,accuracy_pct,ci_low,ci_high,n
anthropic/claude-sonnet-4.5,conflict,1,1,31.4,17.1,48.6,35
anthropic/claude-sonnet-4.5,conflict,1,2,46.7,26.7,73.3,15
anthropic/claude-sonnet-4.5,conflict,2,1,48.6,31.4,65.7,35
anthropic/claude-sonnet-4.5,conflict,2,2,60.0,33.3,86.7,15
anthropic/claude-sonnet-4.5,conflict,3,1,20.0,6.7,33.3,30
anthropic/claude-sonnet-4.5,conflict,3,2,30.0,0.0,60.0,10
anthropic/claude-sonnet-4.5,control,1,1,100.0,100.0,100.0,35
anthropic/claude-sonnet-4.5,control,1,2,100.0,100.0,100.0,15
anthropic/claude-sonnet-4.5,control,2,1,100.0,100.0,100.0,35
anthropic/claude-sonnet-4.5,control,2,2,100.0,100.0,100.0,15
anthropic/claude-sonnet-4.5,control,3,1,100.0,100.0,100.0,30
anthropic/claude-sonnet-4.5,control,3,2,100.0,100.0,100.0,10
google/gemma-4-31b-it,conflict,1,1,25.7,11.4,40.0,35
google/gemma-4-31b-it,conflict,1,2,31.2,12.5,56.2,16
google/gemma-4-31b-it,conflict,2,1,34.3,20.0,51.4,35
google/gemma-4-31b-it,conflict,2,2,23.1,0.0,46.2,13
google/gemma-4-31b-it,conflict,3,1,16.7,3.3,30.0,30
google/gemma-4-31b-it,conflict,3,2,27.3,0.0,54.5,11
google/gemma-4-31b-it,control,1,1,100.0,100.0,100.0,35
google/gemma-4-31b-it,control,1,2,100.0,100.0,100.0,16
google/gemma-4-31b-it,control,2,1,100.0,100.0,100.0,35
google/gemma-4-31b-it,control,2,2,100.0,100.0,100.0,13
google/gemma-4-31b-it,control,3,1,100.0,100.0,100.0,30
google/gemma-4-31b-it,control,3,2,100.0,100.0,100.0,11
openai/gpt-4.1-mini,conflict,1,1,28.6,14.3,45.7,35
openai/gpt-4.1-mini,conflict,1,2,53.3,26.7,80.0,15
openai/gpt-4.1-mini,conflict,2,1,28.6,14.3,45.7,35
openai/gpt-4.1-mini,conflict,2,2,21.4,0.0,42.9,14
openai/gpt-4.1-mini,conflict,3,1,16.7,3.3,30.0,30
openai/gpt-4.1-mini,conflict,3,2,18.2,0.0,45.5,11
openai/gpt-4.1-mini,control,1,1,100.0,100.0,100.0,35
openai/gpt-4.1-mini,control,1,2,100.0,100.0,100.0,15
openai/gpt-4.1-mini,control,2,1,100.0,100.0,100.0,35
openai/gpt-4.1-mini,control,2,2,100.0,100.0,100.0,15
openai/gpt-4.1-mini,control,3,1,100.0,100.0,100.0,30
openai/gpt-4.1-mini,control,3,2,100.0,100.0,100.0,10
openai/o4-mini,conflict,1,1,45.7,28.6,62.9,35
openai/o4-mini,conflict,1,2,18.8,0.0,37.5,16
openai/o4-mini,conflict,2,1,34.3,20.0,48.6,35
openai/o4-mini,conflict,2,2,46.2,23.1,76.9,13
openai/o4-mini,conflict,3,1,26.7,10.0,43.3,30
openai/o4-mini,conflict,3,2,27.3,0.0,54.5,11
openai/o4-mini,control,1,1,100.0,100.0,100.0,35
openai/o4-mini,control,1,2,100.0,100.0,100.0,16
openai/o4-mini,control,2,1,100.0,100.0,100.0,35
openai/o4-mini,control,2,2,100.0,100.0,100.0,13
openai/o4-mini,control,3,1,100.0,100.0,100.0,30
openai/o4-mini,control,3,2,100.0,100.0,100.0,11
qwen/qwen3-max,conflict,1,1,38.5,23.1,53.8,39
qwen/qwen3-max,conflict,1,2,21.4,0.0,42.9,14
qwen/qwen3-max,conflict,2,1,61.0,46.3,75.6,41
qwen/qwen3-max,conflict,2,2,92.3,76.9,100.0,13
qwen/qwen3-max,conflict,3,1,17.6,5.9,32.4,34
qwen/qwen3-max,conflict,3,2,23.1,0.0,46.2,13
qwen/qwen3-max,control,1,1,100.0,100.0,100.0,35
qwen/qwen3-max,control,1,2,100.0,100.0,100.0,17
qwen/qwen3-max,control,2,1,100.0,100.0,100.0,35
qwen/qwen3-max,control,2,2,100.0,100.0,100.0,13
qwen/qwen3-max,control,3,1,100.0,100.0,100.0,30
qwen/qwen3-max,control,3,2,100.0,100.0,100.0,10
