model,distance,occurrence,conflict_acc_pct,control_acc_pct,diff_ci_low,diff_ci_high,significant_reversion
anthropic/claude-sonnet-4.5,1,1,40.0,100.0,-80.0,-40.0,True
anthropic/claude-sonnet-4.5,1,2,54.5,100.0,-72.7,-18.2,True
anthropic/claude-sonnet-4.5,2,1,56.0,100.0,-64.0,-24.0,True
anthropic/claude-sonnet-4.5,2,2,70.0,100.0,-60.0,0.0,False
anthropic/claude-sonnet-4.5,3,1,30.0,100.0,-90.0,-50.0,True
anthropic/claude-sonnet-4.5,3,2,33.3,100.0,-100.0,-33.3,True
openai/gpt-4.1-mini,1,1,36.0,100.0,-80.0,-44.0,True
openai/gpt-4.1-mini,1,2,63.6,100.0,-63.6,-9.1,True
openai/gpt-4.1-mini,2,1,32.0,100.0,-84.0,-48.0,True
openai/gpt-4.1-mini,2,2,20.0,100.0,-100.0,-50.0,True
openai/gpt-4.1-mini,3,1,25.0,100.0,-90.0,-55.0,True
openai/gpt-4.1-mini,3,2,22.2,100.0,-100.0,-44.4,True
