model,distance,occurrence,conflict_acc_pct,control_acc_pct,diff_ci_low,diff_ci_high,significant_reversion
anthropic/claude-sonnet-4.5,1,1,76.0,100.0,-40.0,-8.0,True
anthropic/claude-sonnet-4.5,1,2,90.9,100.0,-27.3,0.0,False
anthropic/claude-sonnet-4.5,2,1,44.0,100.0,-76.0,-36.0,True
anthropic/claude-sonnet-4.5,2,2,50.0,100.0,-78.6,-21.4,True
anthropic/claude-sonnet-4.5,3,1,25.0,100.0,-90.0,-55.0,True
anthropic/claude-sonnet-4.5,3,2,0.0,100.0,-100.0,-100.0,True
openai/gpt-4.1-mini,1,1,76.0,100.0,-44.0,-8.0,True
openai/gpt-4.1-mini,1,2,90.9,100.0,-27.3,0.0,False
openai/gpt-4.1-mini,2,1,60.0,100.0,-60.0,-24.0,True
openai/gpt-4.1-mini,2,2,78.6,100.0,-42.9,0.0,False
openai/gpt-4.1-mini,3,1,40.0,100.0,-80.0,-40.0,True
openai/gpt-4.1-mini,3,2,20.0,100.0,-100.0,-40.0,True
