model,distance,occurrence,conflict_acc_pct,control_acc_pct,diff_ci_low,diff_ci_high,significant_reversion
anthropic/claude-sonnet-4.5,1,1,80.0,100.0,-36.0,-4.0,True
anthropic/claude-sonnet-4.5,1,2,93.8,100.0,-18.8,0.0,False
anthropic/claude-sonnet-4.5,2,1,100.0,100.0,0.0,0.0,False
anthropic/claude-sonnet-4.5,2,2,75.0,100.0,-50.0,0.0,False
anthropic/claude-sonnet-4.5,3,1,100.0,100.0,0.0,0.0,False
anthropic/claude-sonnet-4.5,3,2,100.0,100.0,0.0,0.0,False
openai/gpt-4.1-mini,1,1,80.0,100.0,-36.0,-8.0,True
openai/gpt-4.1-mini,1,2,93.8,100.0,-18.8,0.0,False
openai/gpt-4.1-mini,2,1,92.0,100.0,-20.0,0.0,False
openai/gpt-4.1-mini,2,2,50.0,100.0,-87.5,-12.5,True
openai/gpt-4.1-mini,3,1,95.0,100.0,-15.0,0.0,False
openai/gpt-4.1-mini,3,2,83.3,100.0,-50.0,0.0,False
