model,arm,distance,occurrence,accuracy_pct,ci_low,ci_high,n
anthropic/claude-sonnet-4.5,conflict,1,1,76.0,56.0,92.0,25
anthropic/claude-sonnet-4.5,conflict,1,2,90.9,72.7,100.0,11
anthropic/claude-sonnet-4.5,conflict,2,1,44.0,24.0,64.0,25
anthropic/claude-sonnet-4.5,conflict,2,2,50.0,28.6,78.6,14
anthropic/claude-sonnet-4.5,conflict,3,1,25.0,10.0,45.0,20
anthropic/claude-sonnet-4.5,conflict,3,2,0.0,0.0,0.0,5
anthropic/claude-sonnet-4.5,control,1,1,100.0,100.0,100.0,25
anthropic/claude-sonnet-4.5,control,1,2,100.0,100.0,100.0,11
anthropic/claude-sonnet-4.5,control,2,1,100.0,100.0,100.0,25
anthropic/claude-sonnet-4.5,control,2,2,100.0,100.0,100.0,14
anthropic/claude-sonnet-4.5,control,3,1,100.0,100.0,100.0,20
anthropic/claude-sonnet-4.5,control,3,2,100.0,100.0,100.0,5
openai/gpt-4.1-mini,conflict,1,1,76.0,60.0,92.0,25
openai/gpt-4.1-mini,conflict,1,2,90.9,72.7,100.0,11
openai/gpt-4.1-mini,conflict,2,1,60.0,40.0,80.0,25
openai/gpt-4.1-mini,conflict,2,2,78.6,57.1,92.9,14
openai/gpt-4.1-mini,conflict,3,1,40.0,20.0,60.0,20
openai/gpt-4.1-mini,conflict,3,2,20.0,0.0,60.0,5
openai/gpt-4.1-mini,control,1,1,100.0,100.0,100.0,25
openai/gpt-4.1-mini,control,1,2,100.0,100.0,100.0,11
openai/gpt-4.1-mini,control,2,1,100.0,100.0,100.0,25
openai/gpt-4.1-mini,control,2,2,100.0,100.0,100.0,14
openai/gpt-4.1-mini,control,3,1,100.0,100.0,100.0,20
openai/gpt-4.1-mini,control,3,2,100.0,100.0,100.0,5
