model,arm,distance,occurrence,accuracy_pct,ci_low,ci_high,n
anthropic/claude-sonnet-4.5,conflict,1,1,80.0,64.0,96.0,25
anthropic/claude-sonnet-4.5,conflict,1,2,93.8,81.2,100.0,16
anthropic/claude-sonnet-4.5,conflict,2,1,100.0,100.0,100.0,25
anthropic/claude-sonnet-4.5,conflict,2,2,75.0,37.5,100.0,8
anthropic/claude-sonnet-4.5,conflict,3,1,100.0,100.0,100.0,20
anthropic/claude-sonnet-4.5,conflict,3,2,100.0,100.0,100.0,6
anthropic/claude-sonnet-4.5,control,1,1,100.0,100.0,100.0,25
anthropic/claude-sonnet-4.5,control,1,2,100.0,100.0,100.0,16
anthropic/claude-sonnet-4.5,control,2,1,100.0,100.0,100.0,25
anthropic/claude-sonnet-4.5,control,2,2,100.0,100.0,100.0,8
anthropic/claude-sonnet-4.5,control,3,1,100.0,100.0,100.0,20
anthropic/claude-sonnet-4.5,control,3,2,100.0,100.0,100.0,6
openai/gpt-4.1-mini,conflict,1,1,80.0,64.0,92.0,25
openai/gpt-4.1-mini,conflict,1,2,93.8,81.2,100.0,16
openai/gpt-4.1-mini,conflict,2,1,92.0,80.0,100.0,25
openai/gpt-4.1-mini,conflict,2,2,50.0,12.5,87.5,8
openai/gpt-4.1-mini,conflict,3,1,95.0,85.0,100.0,20
openai/gpt-4.1-mini,conflict,3,2,83.3,50.0,100.0,6
openai/gpt-4.1-mini,control,1,1,100.0,100.0,100.0,25
openai/gpt-4.1-mini,control,1,2,100.0,100.0,100.0,16
openai/gpt-4.1-mini,control,2,1,100.0,100.0,100.0,25
openai/gpt-4.1-mini,control,2,2,100.0,100.0,100.0,8
openai/gpt-4.1-mini,control,3,1,100.0,100.0,100.0,20
openai/gpt-4.1-mini,control,3,2,100.0,100.0,100.0,6
